,Product Name,Price,Description
0,Asus VivoBook X4...,$295.99,"<p class=""description"">Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd</p>"
1,Prestigio SmartB...,$299.00,"<p class=""description"">Prestigio SmartBook 133S Dark Grey, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam</p>"
2,Prestigio SmartB...,$299.00,"<p class=""description"">Prestigio SmartBook 133S Gold, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam</p>"
3,Aspire E1-510,$306.99,"<p class=""description"">15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux</p>"
4,Lenovo V110-15IA...,$321.94,"<p class=""description"">Lenovo V110-15IAP, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home</p>"
5,Lenovo V110-15IA...,$356.49,"<p class=""description"">Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 500GB, Windows 10 Home, En kbd</p>"
6,Hewlett Packard...,$364.46,"<p class=""description"">Hewlett Packard 250 G6 Dark Ash Silver, 15.6"" HD, Celeron N3060 1.6GHz, 4GB, 128GB SSD, DOS</p>"
7,Acer Aspire 3 A3...,$372.70,"<p class=""description"">Acer Aspire 3 A315-31 Black, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home</p>"
8,Acer Aspire A315...,$379.94,"<p class=""description"">Acer Aspire A315-31-C33J Black 15.6"", HD, Celeron N3350, 4GB DDR3L, 128GB, Windows 10 Home, ENG</p>"
9,Acer Aspire ES1-...,$379.95,"<p class=""description"">Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux</p>"
10,Acer Aspire 3 A3...,$391.48,"<p class=""description"">Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home</p>"
11,Acer Aspire 3 A3...,$393.88,"<p class=""description"">Acer Aspire 3 A315-21, 15.6"", AMD A4-9120. 4GB. 128GB SSD, Linux</p>"
12,Asus VivoBook Ma...,$399.00,"<p class=""description"">Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home</p>"
13,Asus VivoBook E5...,$399.99,"<p class=""description"">Asus VivoBook E502NA-GO022T Dark Blue, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd</p>"
14,Lenovo ThinkPad...,$404.23,"<p class=""description"">Lenovo ThinkPad E31-80, 13.3"" HD, Celeron 3855U 1.6GHz, 4GB, 128GB SSD, Windows 10 Home</p>"
15,Acer Aspire 3 A3...,$408.98,"<p class=""description"">Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home</p>"
16,Lenovo V110-15IS...,$409.63,"<p class=""description"">Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 8GB, 128GB SSD, Windows 10 Home</p>"
17,Acer Aspire ES1-...,$410.46,"<p class=""description"">Acer Aspire ES1-732 Black, 17.3"" HD+, Celeron, N3350, 4GB, 1TB, Windows 10 Home</p>"
18,Asus VivoBook 15...,$410.66,"<p class=""description"">Asus VivoBook 15 X540NA-GQ026T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd</p>"
19,Packard 255 G2,$416.99,"<p class=""description"">15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1</p>"
20,Asus EeeBook R41...,$433.30,"<p class=""description"">Asus EeeBook R416NA-FA014T, 14"" FHD, Pentium N4200, 4GB, 128GB eMMC, Windows 10 Home, Eng kbd</p>"
21,Acer Aspire 3 A3...,$436.29,"<p class=""description"">Acer Aspire 3 A315-51, 15.6"" HD, Core i3-6006U, 4GB, 1TB, Windows 10 Home</p>"
